Title,Topic,Section
African Methodist Episcopal Church,Philosophy and religion,Denominations
African National Congress,Society and social sciences,Political parties
African Pygmies,Society and social sciences,Ethnic groups
African Union,Society and social sciences,Governmental organizations
African art,Arts,Non-Western art traditions
African buffalo,Biology and health sciences,Artiodactyla
African bullfrog,Biology and health sciences,Frogs and toads
African bush elephant,Biology and health sciences,Proboscidea
African civet,Biology and health sciences,Other carnivora
African cuisine,Everyday life,Cuisine
African forest elephant,Biology and health sciences,Proboscidea
African literature,Arts,Literatures by language and area
African palm civet,Biology and health sciences,Other carnivora
African penguin,Biology and health sciences,Sphenisciformes
African plate,Physical sciences,Tectonic plates
African sacred ibis,Biology and health sciences,Pelecanimorphae
African spurred tortoise,Biology and health sciences,Turtles
African swine fever virus,Biology and health sciences,Specific viruses
African theatre of World War I,History,World War I
African trypanosomiasis,Biology and health sciences,Protozoan infections
African village dog,Biology and health sciences,Dogs
African wild ass,Biology and health sciences,Equidae
African wild dog,Biology and health sciences,Canines
African wolf,Biology and health sciences,Canines
African-American Vernacular English,Society and social sciences,Germanic languages
African-American history,History,History by demographic group
Africanized bee,Biology and health sciences,Hymenoptera
Afrika Bambaataa,People,Hip-hop and rap
Afrikaans,Society and social sciences,Germanic languages
Afro,Everyday life,Hairstyle
Afro-Eurasia,Geography,Continents
Afroasiatic languages,Society and social sciences,Language families
Afrobeat,Arts,Popular music: General
Afrocarpus,Biology and health sciences,Pinophyta (Conifers)
Afsharid Iran,History,Central and Western Asia
Aftenposten,Society and social sciences,Nordic countries
After-school activity,Society and social sciences,Education: General
Afterlife,Philosophy and religion,Religion
Aftermath of World War I,History,World War I
Aftermath of World War II,History,Contemporary: General
Aftermath of the Libyan civil war (2011),,Guidelines
Afternoon,Physical sciences,Celestial mechanics
Aftershock,Physical sciences,Seismology
Aga Khan III,People,Shia Islam
Agadir,Geography,Morocco
Agalychnis,Biology and health sciences,Frogs and toads
Agaléga,Geography,Africa_3
Agamemnon,Philosophy and religion,Greek mythological people
Agamidae,Biology and health sciences,Iguania
Agape,Philosophy and religion,Theology
Agar,Biology and health sciences,Carbohydrates
Agaricus,Biology and health sciences,Edible fungi
Agaricus bisporus,Biology and health sciences,Edible fungi
Agartala,Geography,Northeast India
Agastya,People,Ancient
Agatha Christie,People,UK and Ireland
Agathis australis,Biology and health sciences,Pinophyta (Conifers)
Agathodaemon (alchemist),People,Egypt
Agave,Biology and health sciences,Monocots
Age of Discovery,History,Modern history
Age of Earth,Physical sciences,Basics
Age of Empires,Everyday life,US products
Age of Enlightenment,History,Modern history
Age of Revolution,,Guidelines
Age of Sail,History,History by continent and region
Age of consent,Everyday life,Sexuality and gender
Age of criminal responsibility,Society and social sciences,Common law
Age of exploration,,Guidelines
Age of majority,Society and social sciences,Civil law
Age of the universe,Physical sciences,Physical cosmology
Ageing,Biology and health sciences,"Health, fitness, and medicine"
Ageism,Society and social sciences,Discrimination
Agelenidae,Biology and health sciences,Spiders
Agence France-Presse,Society and social sciences,News agencies
Agent Orange,Technology,Pest and disease control
Ageusia,Biology and health sciences,Symptoms and signs
Aggradation,Physical sciences,Sedimentology
Aggregate (geology),Physical sciences,Terrestrial geology: General
Aggression,Society and social sciences,Interpersonal relations
Aggressive inline skating,Everyday life,Skating
Agha Hashar Kashmiri,People,Asia_9
Agha Mohammad Khan Qajar,People,"Central Asia, Iran, Caucasus_2"
Aghlabid dynasty,History,Africa_5
Agkistrodon piscivorus,Biology and health sciences,Reptiles
Aglaonice,People,Greece
Agnatha,Biology and health sciences,Agnatha
Agnes Chow,People,East Asia_4
Agnes Moorehead,People,Television_2
Agnes Nixon,People,"Showrunners, television writers and producers"
Agnes de Mille,People,Ballet
Agness Underwood,People,Publishers and editors
Agnez Mo,People,Indonesian
Agni,Philosophy and religion,Hindu mythology
Agnosticism,Philosophy and religion,Non-theistic philosophies
Agnès Sorel,People,Socialites
Agnès Varda,People,Directors
Agostinho Neto,People,Angola
Agouti,Biology and health sciences,Rodents
Agra,Geography,North India
Agrarian society,Society and social sciences,Industry
Agreeableness,Society and social sciences,Emotions and traits
Agribusiness,Technology,"Agriculture, labor and economy"
Agricultural biotechnology,Technology,Biotechnology
Agricultural chemistry,Technology,Academic disciplines
Agricultural cooperative,Technology,"Agriculture, labor and economy"
Agricultural cycle,Technology,Basics_2
Agricultural economics,Technology,Academic disciplines
Agricultural education,Technology,Academic disciplines
Agricultural engineering,Technology,Disciplines
Agricultural expansion,Technology,Agriculture and ecology
Agricultural extension,Technology,Academic disciplines
Agricultural geography,Technology,Academic disciplines
Agricultural land,Technology,Basics_2
Agricultural machinery,Technology,Basics_2
Agricultural marketing,Technology,"Agriculture, labor and economy"
Agricultural philosophy,Technology,Academic disciplines
Agricultural policy,Technology,Academic disciplines
Agricultural pollution,Technology,Agriculture and ecology
Agricultural science,Technology,Basics
Agricultural soil science,Technology,Academic disciplines
Agriculture,Society and social sciences,Society and social sciences
Agriculture in Mesoamerica,History,History of agriculture
Agriculture in ancient Rome,History,History of agriculture
Agriculture in the Middle Ages,History,History of agriculture
Agrippa d'Aubigné,People,Europe_7
Agrippina Vaganova,People,Ballet
Agro-terrorism,Technology,Biotechnology
Agrobacterium tumefaciens,Biology and health sciences,Gram-negative bacteria
Agrochemical,Technology,Pest and disease control
Agroecology,Technology,Academic disciplines
Agroforestry,Technology,Trees and forestry
Agrometeorology,Technology,Academic disciplines
Agronomy,Technology,Basics_2
Aguascalientes,Geography,Mexico
Aguascalientes (city),Geography,Mexico
"Aguirre, the Wrath of God",Arts,Epic and historical
Agustín Gamarra,People,Peru
Agustín Pedro Justo,People,Argentina
Agustín de Iturbide,People,Mexico
Agüeybaná II,People,Americas: General
Ahaetulla,Biology and health sciences,Snakes
Ahilyabai Holkar,People,Southern Asia_3
Ahimsa,Philosophy and religion,Common concepts_2
Ahkam,Philosophy and religion,Terms
Ahl al-Bayt,People,Shia Islam
Ahlam Mosteghanemi,People,Africa
Ahmad Al-Jaber Al-Sabah,People,Western Asia_4
Ahmad Shah Durrani,People,"Central Asia, Iran, Caucasus_2"
Ahmad Shah Massoud,People,Central Asia
Ahmad Shah of Pahang,People,Malaysia
Ahmad Sirhindi,People,Sufism
Ahmad Tajuddin,People,Southeastern Asia_3
Ahmad Tejan Kabbah,People,Sierra Leone
Ahmad Zahir,People,Persian languages
Ahmad al-Mansur,People,Africa_4
Ahmad bin Ali Al Thani,People,Qatar
Ahmad bin Yahya,People,Yemen
Ahmad ibn Fadlan,People,Post-classical
Ahmad ibn Hanbal,People,Sunni Islam
Ahmad ibn Ibrahim al-Ghazi,People,Africa_4
Ahmad ibn Tulun,People,Africa_2
Ahmadnagar Sultanate,History,Southern Asia_3
Ahmadou Ahidjo,People,Cameroon
Ahmed Abdallah,People,Comoros
Ahmed Ali (writer),People,Asia_4
Ahmed Ben Bella,People,Algeria
Ahmed Fouad Negm,People,Asia_8
Ahmed Hassan al-Bakr,People,Iraq
Ahmed III,People,Western Asia_3
Ahmed Mohamed Mohamoud,People,Somalia and Somaliland
Ahmed Rushdi,People,"Indian, Pakistani, Bangladeshi and Nepali languages"
Ahmed Sékou Touré,People,Guinea and Guinea-Bissau
Ahmed Urabi,People,Egypt
Ahmed Zaki (actor),People,Africa
Ahmed Zewail,People,Chemistry
Ahmedabad,Geography,West India
Ahmednagar,Geography,West India
Ahmes,People,Egypt
Ahmet Ertegun,People,"Music producers, songwriters and businesspeople"
Ahmet Necdet Sezer,People,Turkey
Ahmose I,People,Egypt
Ahn Chang Ho,People,East Asia_3
Ahn Sahng-hong,People,Others
Ahom kingdom,History,Southern Asia_2
Ahriman,Philosophy and religion,Zoroastrian mythology
Ahuitzotl,People,Americas_2
Ahura Mazda,Philosophy and religion,Zoroastrian mythology
Ahvaz,Geography,Iran
Ai Iijima,People,Adult
Ai Weiwei,People,Contemporary art: General
Ai-Ai delas Alas,People,Asia_3
Ai-Khanoum,History,"Central Asia, Iran, Caucasus"
Aichi Prefecture,Geography,Japan
Aid agency,Society and social sciences,Groups
Aida,Arts,Opera
Aikido,Everyday life,Combat sport and martial arts
Aileen Wuornos,People,"Murder, serial killing, mass murder"
Aileron,Technology,Aircraft components
Ailuridae,Biology and health sciences,Other carnivora
Aimee Semple McPherson,People,"Modern, 1800-present_2"
Aimé Bonpland,People,Biology
Aimé Césaire,People,Caribbean_2
Ainu people,Society and social sciences,Asia_3
Air China,Society and social sciences,Asia_3
Air France,Society and social sciences,Europe_3
Air India,Society and social sciences,Asia_3
Air brake (aeronautics),Technology,Aircraft components
Air conditioning,Technology,Household appliances
Air filter,Technology,"Food, water and health"
Air force,Society and social sciences,Military forces
Air hockey,Everyday life,Types of games
Air mass,Physical sciences,Atmosphere
Air mass (astronomy),Physical sciences,Basics
Air medical services,Technology,Transport
Air pollution,Society and social sciences,Issues
Air purifier,Technology,"Food, water and health"
Air quality index,Physical sciences,Other_2
Air raids on Japan,History,World War II
Air separation,Physical sciences,Phase separations
Air superiority fighter,Technology,Military aviation
Air supremacy,Society and social sciences,Military operations
Air traffic control,Technology,Aviation
Air warfare of World War II,History,World War II
Air-to-air missile,Technology,Missiles
Airbag,Technology,Basics_7
Airbnb,Society and social sciences,Internet and e-commerce
Airborne collision avoidance system,Technology,Aircraft components
Airborne early warning and control,Technology,Military aviation
Airborne transmission,Biology and health sciences,Concepts
Airbrush makeup,Everyday life,Cosmetics
Airbus,Society and social sciences,Aerospace
Airbus A300,Technology,Specific aircraft_2
Airbus A320 family,Technology,Specific aircraft_2
Airbus A380,Technology,Specific aircraft_2
Aircraft,Technology,Transportation
Aircraft carrier,Technology,Naval warfare
Aircraft engine,Technology,Aviation
Aircraft fairing,Technology,Aircraft components
Aircraft flight control system,Technology,Aircraft components
Aircraft pilot,Society and social sciences,Common trades and professions
Airfoil,Technology,Aircraft components
Airframe,Technology,Aircraft components
Airglow,Physical sciences,Basics
Airline,Technology,Aviation
Airliner,Technology,Types of aircraft
Airplane,Technology,Aviation
Airplane!,Arts,Comedy_2
Airport,Technology,Aviation
Airport terminal,Technology,Concepts of aviation
Airship,Technology,Aviation
Airsoft,Everyday life,Team sports
Aisha,People,Islam
Aishwarya Rai Bachchan,People,Asia_2
Aix-Marseille University,Society and social sciences,France
Aix-en-Provence,Geography,France
Aizawl,Geography,Northeast India
Aizoaceae,Biology and health sciences,Caryophyllales
Ajaccio,Geography,France
Ajanta Caves,Arts,Asia
Ajatashatru,People,Southern Asia
Ajax (play),Arts,Fiction of antiquity
Ajay Devgn,People,Asia
Ajman,Geography,United Arab Emirates
Ajmer,Geography,North India
Ajuran Sultanate,History,Africa_3
Ajwain,Biology and health sciences,Herbs and spices
Ak Bars Kazan,Everyday life,Ice hockey
Akaji Maro,People,Other dance
Akamai Technologies,Society and social sciences,Internet and e-commerce
Akan language,Society and social sciences,Language families
Akashi Kaikyo Bridge,Technology,Transport infrastructure
Akashi Motojiro,People,Japan
Akbar,People,Leaders and politicians
Akbar Hashemi Rafsanjani,People,Iran_2
Akhenaten,People,Egypt
Akhirah,Philosophy and religion,Beliefs_2
Akhmad Kadyrov,People,Chechnya
Akhtar Hameed Khan,People,Sociologists
Akhtar Mansour,People,Afghanistan
Aki Kaurismäki,People,Europe_4
Akihito,People,Emperors_3
Akina Nakamori,People,Japanese_2
Akio Morita,People,Electronics
Akira (1988 film),Arts,Animation
Akira Kamiya,People,"Voice actors, radio announcers and narrators"
Akira Kurosawa,People,Directors
Akira Mutō,People,Crimes against humanity
Akira Toriyama,People,"Comics and manga artists, print cartoonists and illustrators"
Akira Yoshino,People,Chemistry
Akira Yoshizawa,People,Japanese
Akita (city),Geography,Tōhoku
Akita Prefecture,Geography,Japan
Akkad (city),History,Asia_3
Akkadian Empire,History,West Asia
Akkadian language,Society and social sciences,Afroasiatic languages
Akola,Geography,West India
Akosombo Dam,Technology,Dams
Akram Khan (dancer),People,Other dance
Akrotiri and Dhekelia,Geography,United Kingdom
Akseli Gallen-Kallela,People,Modern era
Akshay Kumar,People,Asia
Aktion T4,History,World War II
Aktobe,Geography,Kazakhstan
Akula-class submarine,Technology,Naval warfare
Akure,Geography,Nigeria
Akwa Ibom State,Geography,Nigeria
Al Ain,Geography,United Arab Emirates
Al Arbour,People,Ice hockey_2
Al Capone,People,Businesspeople
Al Davis,People,American football_2
Al Diwaniyah,Geography,Iraq
Al Franken,People,United States_3
Al Goldstein,People,Publishers and editors
Al Gore,People,Other_10
Al Green,People,"Blues, R&amp;B, Funk, Zydeco and Soul"
Al Jazeera Arabic,Society and social sciences,Television networks and channels
Al Jolson,People,Popular music: General
Al Oerter,People,Athletics
Al Pacino,People,United States
Al Sharpton,People,United States_5
Al Smith,People,Other_4
Al Swearengen,People,Sex work
Al Waleed bin Talal Al Saud,People,Multiple industries
